home_team,country_code,win_percent
Cyprus,CYP,19.060773480662984
Laos,LAO,19.01840490797546
Puerto Rico,PRI,18.803418803418804
Lesotho,LSO,18.14516129032258
Faroe Islands,FRO,17.857142857142858
British Virgin Islands,VGB,17.582417582417584
Aruba,ABW,17.5
Mauritania,MRT,17.452830188679247
Nicaragua,NIC,17.419354838709676
Macau,MAC,16.40625
Eritrea,ERI,15.277777777777779
Comoros,COM,15.0
Brunei,BRN,13.698630136986301
U.S. Virgin Islands,VIR,12.962962962962964
Malta,MLT,11.838790931989925
Seychelles,SYC,11.504424778761061
Bhutan,BTN,9.876543209876543
Somalia,SOM,9.345794392523365
Luxembourg,LUX,8.457711442786069
East Timor,TLS,7.8431372549019605
Liechtenstein,LIE,7.575757575757576
Anguilla,AIA,4.918032786885246
Djibouti,DJI,4.545454545454546
Andorra,AND,3.658536585365854
San Marino,SMR,0.6134969325153374
United Kingdom,GBR,42.66083697688944
